tol_mult,families,cap,mode,n,nz,hod7.5,lod7.5,rand7.5,hod10,lod10,rand10,min10,min7.5,lift10
2.0,atr+cam+em+pdc+piv+pw,45,snap,313,30.1054,0.5783,0.6677,0.5838,0.6901,0.7923,0.7777,0.6901,0.5783,-0.036499999999999866
1.5,atr+cam+em+pdc+piv+pw,45,mean,313,32.3291,0.5783,0.6741,0.6307,0.6901,0.7955,0.8284,0.6901,0.5783,-0.08560000000000001
1.5,cam+em+pdc+piv,0,mean,313,32.8978,0.5879,0.6741,0.629,0.6901,0.8019,0.8319,0.6901,0.5879,-0.08589999999999998
1.5,atr+cam+em+pdc+piv+pw,45,snap,313,32.3291,0.5783,0.6709,0.6308,0.6901,0.7923,0.8284,0.6901,0.5783,-0.08719999999999994
1.0,atr+cam+em+pdc+piv+pw,45,snap,313,34.5272,0.5911,0.6965,0.6777,0.6901,0.7891,0.8623,0.6901,0.5911,-0.12269999999999992
1.0,atr+cam+em+pdc+piv+pw,45,mean,313,34.5272,0.5847,0.6901,0.6777,0.6901,0.7891,0.8624,0.6901,0.5847,-0.12280000000000002
1.0,cam+pdc+piv,0,snap,313,34.9712,0.5879,0.7061,0.6695,0.6901,0.8019,0.8709,0.6901,0.5879,-0.12490000000000001
0.75,cam+em+ext+pdc+piv+pw,45,mean,313,36.0288,0.6102,0.6454,0.7087,0.6901,0.7476,0.8717,0.6901,0.6102,-0.15285000000000004
1.0,cam+pdc+piv,0,mean,313,34.9712,0.5783,0.6997,0.6695,0.6869,0.7987,0.8709,0.6869,0.5783,-0.1281000000000001
0.75,atr+cam+em+pdc+piv+pw,45,snap,313,35.492,0.5847,0.6901,0.6977,0.6869,0.7764,0.8706,0.6869,0.5847,-0.13895000000000013
0.75,cam+em+ext+ladder+pdc+piv+pw,45,mean,313,36.6294,0.6102,0.655,0.719,0.6869,0.7508,0.8766,0.6869,0.6102,-0.15775000000000006
2.0,cam+em+pdc+piv,0,mean,313,30.0192,0.5751,0.639,0.5726,0.6837,0.7827,0.763,0.6837,0.5751,-0.02980000000000005
0.75,atr+cam+em+pdc+piv+pw,45,mean,313,35.492,0.5847,0.6837,0.6977,0.6837,0.7732,0.8707,0.6837,0.5847,-0.14225
0.75,atr+cam+em+ext+pdc+piv+pw,45,snap,313,36.4473,0.5942,0.6581,0.7164,0.6837,0.7348,0.8757,0.6837,0.5942,-0.1664500000000001
2.0,cam+em+pdc+piv+pw,0,snap,313,30.278,0.5719,0.655,0.5774,0.6773,0.7732,0.7695,0.6773,0.5719,-0.04425000000000001
